"id","area","area_th","difficulty","prompt_th","option_a","option_b","option_c","option_d","correct_option","correct_answer","source_explanation","junior_answer","junior_review","senior_answer","senior_review","team_lead_answer","team_lead_review","banking_reference","review_tags","ba_confirm"
"rg-bapm-001","business_analysis_planning","Business Analysis Planning & Monitoring","easy","ธนาคารดิจิทัลเริ่มโครงการ ปรับปรุง onboarding e-KYC สำหรับลูกค้าใหม่ โดย requirement ยังเปลี่ยนเร็วและมีผู้เกี่ยวข้องคือ Compliance, Product, สาขา และทีมปฏิบัติการ BA ควรวาง business analysis approach อย่างไรให้เหมาะกับสถานการณ์นี้มากที่สุด?","บังคับ freeze requirement ทั้งหมดตั้งแต่วันแรกเพื่อให้ทีมพัฒนาเริ่มทำงานได้ทันที","ใช้ adaptive approach วางรอบ elicitation สั้น ๆ ทบทวน backlog/requirement เป็นระยะ และตกลงจุดตัดสินใจร่วมกับ stakeholder","เริ่มออกแบบหน้าจอทั้งหมดก่อน แล้วค่อยถาม stakeholder เมื่อระบบใกล้เสร็จ","ให้ sponsor คนเดียวตัดสิน requirement แทนทุกกลุ่มเพื่อลดจำนวน meeting","B","ใช้ adaptive approach วางรอบ elicitation สั้น ๆ ทบทวน backlog/requirement เป็นระยะ และตกลงจุดตัดสินใจร่วมกับ stakeholder","Business Analysis Planning and Monitoring ต้อง tailor approach ให้เหมาะกับระดับความไม่แน่นอนและวิธีส่งมอบงาน ถ้า requirement เปลี่ยนเร็ว การวางรอบ feedback สั้นและ governance ที่ชัดจะควบคุมความเสี่ยงได้ดีกว่า freeze เอกสารเร็วเกินไป","B. ใช้ adaptive approach วางรอบ elicitation สั้น ๆ ทบทวน backlog/requirement เป็นระยะ และตกลงจุดตัดสินใจร่วมกับ stakeholder","Junior ควรจับ keyword เรื่อง approach, plan, stakeholder, governance แล้วเลือกคำตอบที่ทำให้ scope/deliverable/approval ชัด ไม่รีบ freeze หรือข้าม stakeholder จุดระวัง: อย่าจำแค่คำตอบ ให้โยงกับ evidence ในโจทย์และระบุ assumption ที่ยังไม่รู้","B. ใช้ adaptive approach วางรอบ elicitation สั้น ๆ ทบทวน backlog/requirement เป็นระยะ และตกลงจุดตัดสินใจร่วมกับ stakeholder","Senior review: ในงานแบงค์ต้องแยก requirement ที่ต้อง baseline/approval ตาม policy ออกจาก backlog ที่ปรับได้ และระบุ owner/decision path สำหรับ issue สำคัญ Bank lens: bank-native context; compliance/policy; data/system integration; stakeholder alignment","B. ใช้ adaptive approach วางรอบ elicitation สั้น ๆ ทบทวน backlog/requirement เป็นระยะ และตกลงจุดตัดสินใจร่วมกับ stakeholder","Team Lead gate: พร้อมส่งต่อเมื่อมี BA plan, stakeholder coverage, decision log, risk/assumption log, approval criteria และ governance ที่ทีม delivery ยอมรับร่วมกัน Decision: ตอบข้อนี้ได้ แต่ก่อนส่ง dev/test ต้องมี evidence, owner และ acceptance/checkpoint ที่ตรวจสอบได้","บริบทธนาคาร: วาง BA approach ให้มี governance, stakeholder map, decision rights, sign-off cadence, change control และหลักฐาน audit trail ตั้งแต่ต้น","bank-native context; compliance/policy; data/system integration; stakeholder alignment","ควรตั้งเป็น BA confirm item ถ้าหลักฐาน policy/process owner ยังไม่ชัด"
"rg-bapm-002","business_analysis_planning","Business Analysis Planning & Monitoring","easy","ในงาน ปรับปรุง onboarding e-KYC สำหรับลูกค้าใหม่ ของ ธนาคารดิจิทัล BA พบว่า Compliance, Product, สาขา และทีมปฏิบัติการ มีอิทธิพลและความคาดหวังต่างกันมาก เอกสารใดควรถูกทำก่อนเพื่อช่วยวางแผนการมีส่วนร่วมของ stakeholder?","คู่มือผู้ใช้ฉบับเต็ม เพราะช่วยให้ทุกคนเห็นหน้าจอเหมือนกัน","รายการ test case ของระบบ เพราะเป็นเอกสารที่ทีม QA ต้องใช้ภายหลัง","แผน deploy production เพราะเป็นเอกสารที่ผู้บริหารสนใจมากที่สุด","Stakeholder engagement/communication plan ที่ระบุอิทธิพล ความสนใจ ช่องทาง และความถี่การสื่อสารของแต่ละกลุ่ม","D","Stakeholder engagement/communication plan ที่ระบุอิทธิพล ความสนใจ ช่องทาง และความถี่การสื่อสารของแต่ละกลุ่ม","การวางแผน stakeholder engagement ช่วยให้ BA รู้ว่าจะดึงข้อมูลจากใคร สื่อสารอย่างไร และจัดการความคาดหวังอย่างไร เอกสารปลายทางอย่างคู่มือผู้ใช้หรือ test case ยังไม่ตอบโจทย์การวางแผนความร่วมมือช่วงต้น","D. Stakeholder engagement/communication plan ที่ระบุอิทธิพล ความสนใจ ช่องทาง และความถี่การสื่อสารของแต่ละกลุ่ม","Junior ควรจับ keyword เรื่อง approach, plan, stakeholder, governance แล้วเลือกคำตอบที่ทำให้ scope/deliverable/approval ชัด ไม่รีบ freeze หรือข้าม stakeholder จุดระวัง: อย่าจำแค่คำตอบ ให้โยงกับ evidence ในโจทย์และระบุ assumption ที่ยังไม่รู้","D. Stakeholder engagement/communication plan ที่ระบุอิทธิพล ความสนใจ ช่องทาง และความถี่การสื่อสารของแต่ละกลุ่ม","Senior review: ในงานแบงค์ต้องแยก requirement ที่ต้อง baseline/approval ตาม policy ออกจาก backlog ที่ปรับได้ และระบุ owner/decision path สำหรับ issue สำคัญ Bank lens: bank-native context; compliance/policy; data/system integration; stakeholder alignment","D. Stakeholder engagement/communication plan ที่ระบุอิทธิพล ความสนใจ ช่องทาง และความถี่การสื่อสารของแต่ละกลุ่ม","Team Lead gate: พร้อมส่งต่อเมื่อมี BA plan, stakeholder coverage, decision log, risk/assumption log, approval criteria และ governance ที่ทีม delivery ยอมรับร่วมกัน Decision: ตอบข้อนี้ได้ แต่ก่อนส่ง dev/test ต้องมี evidence, owner และ acceptance/checkpoint ที่ตรวจสอบได้","บริบทธนาคาร: วาง BA approach ให้มี governance, stakeholder map, decision rights, sign-off cadence, change control และหลักฐาน audit trail ตั้งแต่ต้น","bank-native context; compliance/policy; data/system integration; stakeholder alignment","ควรตั้งเป็น BA confirm item ถ้าหลักฐาน policy/process owner ยังไม่ชัด"
"rg-bapm-003","business_analysis_planning","Business Analysis Planning & Monitoring","easy","ธนาคารดิจิทัลต้องการเริ่มวิเคราะห์ เปิดบัญชีออนไลน์ แต่ทีมยังไม่รู้ว่าขอบเขต BA จะรวม process, data และระบบใดบ้าง สิ่งใดควรถูกระบุใน BA plan มากที่สุด?","สีของ dashboard และ icon ที่ต้องใช้ใน prototype ทุกหน้าจอ","ขอบเขตงานวิเคราะห์ deliverables เทคนิคที่จะใช้ timeline สมมติฐาน และผู้อนุมัติ deliverables","โครงสร้าง code repository และ naming convention ของทีมพัฒนา","รายชื่อพนักงานทั้งองค์กรและวันลาทั้งหมดของทีม project","B","ขอบเขตงานวิเคราะห์ deliverables เทคนิคที่จะใช้ timeline สมมติฐาน และผู้อนุมัติ deliverables","BA plan เป็นเครื่องมือกำหนดว่าจะทำงานวิเคราะห์อะไร อย่างไร เมื่อไหร่ และใครต้องมีส่วนร่วม จึงควรรวม scope, deliverables, techniques, schedule, assumptions และ approval ไม่ใช่รายละเอียดเชิง implement ที่ยังไม่ถึงเวลา","B. ขอบเขตงานวิเคราะห์ deliverables เทคนิคที่จะใช้ timeline สมมติฐาน และผู้อนุมัติ deliverables","Junior ควรจับ keyword เรื่อง approach, plan, stakeholder, governance แล้วเลือกคำตอบที่ทำให้ scope/deliverable/approval ชัด ไม่รีบ freeze หรือข้าม stakeholder จุดระวัง: อย่าจำแค่คำตอบ ให้โยงกับ evidence ในโจทย์และระบุ assumption ที่ยังไม่รู้","B. ขอบเขตงานวิเคราะห์ deliverables เทคนิคที่จะใช้ timeline สมมติฐาน และผู้อนุมัติ deliverables","Senior review: ในงานแบงค์ต้องแยก requirement ที่ต้อง baseline/approval ตาม policy ออกจาก backlog ที่ปรับได้ และระบุ owner/decision path สำหรับ issue สำคัญ Bank lens: bank-native context; compliance/policy; data/system integration","B. ขอบเขตงานวิเคราะห์ deliverables เทคนิคที่จะใช้ timeline สมมติฐาน และผู้อนุมัติ deliverables","Team Lead gate: พร้อมส่งต่อเมื่อมี BA plan, stakeholder coverage, decision log, risk/assumption log, approval criteria และ governance ที่ทีม delivery ยอมรับร่วมกัน Decision: ตอบข้อนี้ได้ แต่ก่อนส่ง dev/test ต้องมี evidence, owner และ acceptance/checkpoint ที่ตรวจสอบได้","บริบทธนาคาร: วาง BA approach ให้มี governance, stakeholder map, decision rights, sign-off cadence, change control และหลักฐาน audit trail ตั้งแต่ต้น","bank-native context; compliance/policy; data/system integration","ควรตั้งเป็น BA confirm item ถ้าหลักฐาน policy/process owner ยังไม่ชัด"
"rg-bapm-004","business_analysis_planning","Business Analysis Planning & Monitoring","medium","ระหว่างวางแผน ปรับปรุง onboarding e-KYC สำหรับลูกค้าใหม่ มีข้อจำกัดสำคัญคือ PDPA, KYC และ audit trail และมีความเสี่ยงว่า การตีความข้อมูลบังคับไม่ตรงกันระหว่างสาขาและสำนักงานใหญ่ BA ควรทำอะไรเพื่อให้ governance ของ requirement ชัดที่สุด?","ปล่อยให้ทุก change request เข้า sprint ได้ทันทีเพื่อรักษาความเร็ว","ให้ทีมพัฒนาเลือก requirement เองจากความง่ายในการ implement","รอให้ UAT ล้มเหลวก่อนจึงค่อยตั้งคณะกรรมการพิจารณา change","กำหนด decision rights, change control, approval criteria และ escalation path สำหรับ requirement ที่กระทบ constraint","D","กำหนด decision rights, change control, approval criteria และ escalation path สำหรับ requirement ที่กระทบ constraint","Requirement governance ทำให้การตัดสินใจและการเปลี่ยนแปลงมีเจ้าของชัด โดยเฉพาะเมื่อมี constraint หรือ risk สูง BA ควรตกลงสิทธิ์อนุมัติ เกณฑ์ผลกระทบ และ escalation ก่อนเกิด conflict จริง","D. กำหนด decision rights, change control, approval criteria และ escalation path สำหรับ requirement ที่กระทบ constraint","Junior ควรจับ keyword เรื่อง approach, plan, stakeholder, governance แล้วเลือกคำตอบที่ทำให้ scope/deliverable/approval ชัด ไม่รีบ freeze หรือข้าม stakeholder จุดระวัง: อย่าจำแค่คำตอบ ให้โยงกับ evidence ในโจทย์และระบุ assumption ที่ยังไม่รู้","D. กำหนด decision rights, change control, approval criteria และ escalation path สำหรับ requirement ที่กระทบ constraint","Senior review: ในงานแบงค์ต้องแยก requirement ที่ต้อง baseline/approval ตาม policy ออกจาก backlog ที่ปรับได้ และระบุ owner/decision path สำหรับ issue สำคัญ Bank lens: bank-native context; compliance/policy; data/system integration; change/traceability","D. กำหนด decision rights, change control, approval criteria และ escalation path สำหรับ requirement ที่กระทบ constraint","Team Lead gate: พร้อมส่งต่อเมื่อมี BA plan, stakeholder coverage, decision log, risk/assumption log, approval criteria และ governance ที่ทีม delivery ยอมรับร่วมกัน Decision: ตอบข้อนี้ได้ แต่ก่อนส่ง dev/test ต้องมี evidence, owner และ acceptance/checkpoint ที่ตรวจสอบได้","บริบทธนาคาร: วาง BA approach ให้มี governance, stakeholder map, decision rights, sign-off cadence, change control และหลักฐาน audit trail ตั้งแต่ต้น","bank-native context; compliance/policy; data/system integration; change/traceability","ควรตั้งเป็น BA confirm item ถ้าหลักฐาน policy/process owner ยังไม่ชัด"
"rg-bapm-005","business_analysis_planning","Business Analysis Planning & Monitoring","medium","ธนาคารดิจิทัลมีข้อมูลสำคัญคือ ข้อมูลตัวตน รูปถ่ายบัตร และผลตรวจ watchlist กระจายอยู่หลายระบบในโครงการ ปรับปรุง onboarding e-KYC สำหรับลูกค้าใหม่ BA ควรวางแผนจัดการ business analysis information อย่างไรจึงเหมาะสมที่สุด?","เก็บไฟล์ทั้งหมดไว้ในเครื่อง BA คนเดียวเพื่อหลีกเลี่ยงความสับสน","กำหนด repository, naming/versioning, access control, traceability และวิธีสื่อสารการเปลี่ยนแปลงของ requirement artifacts","ส่ง requirement ล่าสุดผ่านแชตเท่านั้นเพราะทุกคนอ่านเร็วกว่าเอกสาร","ให้แต่ละทีมตั้งชื่อไฟล์เองโดยไม่ต้องมีมาตรฐานกลาง","B","กำหนด repository, naming/versioning, access control, traceability และวิธีสื่อสารการเปลี่ยนแปลงของ requirement artifacts","BA information management ต้องดูแล artifact ให้เข้าถึงได้ ตรวจสอบย้อนกลับได้ และรู้ว่า version ใดเป็นปัจจุบัน การควบคุม repository/versioning/traceability สำคัญกว่าการเก็บข้อมูลแบบกระจัดกระจาย","B. กำหนด repository, naming/versioning, access control, traceability และวิธีสื่อสารการเปลี่ยนแปลงของ requirement artifacts","Junior ควรจับ keyword เรื่อง approach, plan, stakeholder, governance แล้วเลือกคำตอบที่ทำให้ scope/deliverable/approval ชัด ไม่รีบ freeze หรือข้าม stakeholder จุดระวัง: อย่าจำแค่คำตอบ ให้โยงกับ evidence ในโจทย์และระบุ assumption ที่ยังไม่รู้","B. กำหนด repository, naming/versioning, access control, traceability และวิธีสื่อสารการเปลี่ยนแปลงของ requirement artifacts","Senior review: ในงานแบงค์ต้องแยก requirement ที่ต้อง baseline/approval ตาม policy ออกจาก backlog ที่ปรับได้ และระบุ owner/decision path สำหรับ issue สำคัญ Bank lens: bank-native context; compliance/policy; data/system integration; stakeholder alignment; change/traceability","B. กำหนด repository, naming/versioning, access control, traceability และวิธีสื่อสารการเปลี่ยนแปลงของ requirement artifacts","Team Lead gate: พร้อมส่งต่อเมื่อมี BA plan, stakeholder coverage, decision log, risk/assumption log, approval criteria และ governance ที่ทีม delivery ยอมรับร่วมกัน Decision: ตอบข้อนี้ได้ แต่ก่อนส่ง dev/test ต้องมี evidence, owner และ acceptance/checkpoint ที่ตรวจสอบได้","บริบทธนาคาร: วาง BA approach ให้มี governance, stakeholder map, decision rights, sign-off cadence, change control และหลักฐาน audit trail ตั้งแต่ต้น","bank-native context; compliance/policy; data/system integration; stakeholder alignment; change/traceability","ควรตั้งเป็น BA confirm item ถ้าหลักฐาน policy/process owner ยังไม่ชัด"
"rg-bapm-006","business_analysis_planning","Business Analysis Planning & Monitoring","medium","BA ต้องวาง elicitation plan สำหรับ ปรับปรุง onboarding e-KYC สำหรับลูกค้าใหม่ ซึ่งเกี่ยวข้องกับ Compliance, Product, สาขา และทีมปฏิบัติการ และ process คือ เปิดบัญชีออนไลน์ ข้อใดควรอยู่ใน elicitation plan มากที่สุด?","จำนวนบรรทัด code ที่ทีมพัฒนาต้องเขียนในแต่ละ sprint","สรุปคะแนนความพึงพอใจหลัง go-live โดยไม่ต้องระบุวิธีเก็บ requirement","รายชื่อ bug ทั้งหมดที่คาดว่าจะเจอใน production หลังปล่อยระบบ","วัตถุประสงค์ของ session, stakeholder ที่ต้องเข้าร่วม, เทคนิค, agenda, input ที่ต้องเตรียม และ expected output","D","วัตถุประสงค์ของ session, stakeholder ที่ต้องเข้าร่วม, เทคนิค, agenda, input ที่ต้องเตรียม และ expected output","Elicitation plan ทำให้การดึงข้อมูลมีเป้าหมายและได้ผลลัพธ์ที่นำไปใช้ต่อได้ BA จึงต้องระบุ objective, participant, technique, agenda, required input และ expected output อย่างชัดเจน","D. วัตถุประสงค์ของ session, stakeholder ที่ต้องเข้าร่วม, เทคนิค, agenda, input ที่ต้องเตรียม และ expected output","Junior ควรจับ keyword เรื่อง approach, plan, stakeholder, governance แล้วเลือกคำตอบที่ทำให้ scope/deliverable/approval ชัด ไม่รีบ freeze หรือข้าม stakeholder จุดระวัง: อย่าจำแค่คำตอบ ให้โยงกับ evidence ในโจทย์และระบุ assumption ที่ยังไม่รู้","D. วัตถุประสงค์ของ session, stakeholder ที่ต้องเข้าร่วม, เทคนิค, agenda, input ที่ต้องเตรียม และ expected output","Senior review: ในงานแบงค์ต้องแยก requirement ที่ต้อง baseline/approval ตาม policy ออกจาก backlog ที่ปรับได้ และระบุ owner/decision path สำหรับ issue สำคัญ Bank lens: bank-native context; compliance/policy; data/system integration; stakeholder alignment; value realization","D. วัตถุประสงค์ของ session, stakeholder ที่ต้องเข้าร่วม, เทคนิค, agenda, input ที่ต้องเตรียม และ expected output","Team Lead gate: พร้อมส่งต่อเมื่อมี BA plan, stakeholder coverage, decision log, risk/assumption log, approval criteria และ governance ที่ทีม delivery ยอมรับร่วมกัน Decision: ตอบข้อนี้ได้ แต่ก่อนส่ง dev/test ต้องมี evidence, owner และ acceptance/checkpoint ที่ตรวจสอบได้","บริบทธนาคาร: วาง BA approach ให้มี governance, stakeholder map, decision rights, sign-off cadence, change control และหลักฐาน audit trail ตั้งแต่ต้น","bank-native context; compliance/policy; data/system integration; stakeholder alignment; value realization","ควรตั้งเป็น BA confirm item ถ้าหลักฐาน policy/process owner ยังไม่ชัด"
"rg-bapm-007","business_analysis_planning","Business Analysis Planning & Monitoring","medium","ในโครงการ ปรับปรุง onboarding e-KYC สำหรับลูกค้าใหม่ ของ ธนาคารดิจิทัล ผู้บริหารต้องการรู้ว่างาน BA คืบหน้าจริงหรือไม่ ตัวชี้วัดใดเหมาะกับ monitoring งาน BA มากที่สุด?","จำนวน slide ที่ BA ทำได้ต่อสัปดาห์โดยไม่ดูคุณภาพของ requirement","สัดส่วน requirement ที่ผ่าน review, จำนวน open issue สำคัญ, traceability coverage และเวลาปิด decision ที่ค้าง","จำนวนชั่วโมงประชุมรวมทั้งหมด ยิ่งเยอะยิ่งแปลว่าวิเคราะห์ลึก","จำนวนหน้าจอ UI ที่ออกแบบแล้ว แม้ยังไม่มี requirement ยืนยัน","B","สัดส่วน requirement ที่ผ่าน review, จำนวน open issue สำคัญ, traceability coverage และเวลาปิด decision ที่ค้าง","Monitoring งาน BA ควรดูความพร้อมและคุณภาพของ requirement รวมถึง issue/decision ที่กระทบความคืบหน้า ตัวชี้วัดที่นับปริมาณเอกสารหรือชั่วโมงประชุมอย่างเดียวไม่บอก readiness ของ requirement","B. สัดส่วน requirement ที่ผ่าน review, จำนวน open issue สำคัญ, traceability coverage และเวลาปิด decision ที่ค้าง","Junior ควรจับ keyword เรื่อง approach, plan, stakeholder, governance แล้วเลือกคำตอบที่ทำให้ scope/deliverable/approval ชัด ไม่รีบ freeze หรือข้าม stakeholder จุดระวัง: อย่าจำแค่คำตอบ ให้โยงกับ evidence ในโจทย์และระบุ assumption ที่ยังไม่รู้","B. สัดส่วน requirement ที่ผ่าน review, จำนวน open issue สำคัญ, traceability coverage และเวลาปิด decision ที่ค้าง","Senior review: ในงานแบงค์ต้องแยก requirement ที่ต้อง baseline/approval ตาม policy ออกจาก backlog ที่ปรับได้ และระบุ owner/decision path สำหรับ issue สำคัญ Bank lens: bank-native context; compliance/policy; change/traceability","B. สัดส่วน requirement ที่ผ่าน review, จำนวน open issue สำคัญ, traceability coverage และเวลาปิด decision ที่ค้าง","Team Lead gate: พร้อมส่งต่อเมื่อมี BA plan, stakeholder coverage, decision log, risk/assumption log, approval criteria และ governance ที่ทีม delivery ยอมรับร่วมกัน Decision: ตอบข้อนี้ได้ แต่ก่อนส่ง dev/test ต้องมี evidence, owner และ acceptance/checkpoint ที่ตรวจสอบได้","บริบทธนาคาร: วาง BA approach ให้มี governance, stakeholder map, decision rights, sign-off cadence, change control และหลักฐาน audit trail ตั้งแต่ต้น","bank-native context; compliance/policy; change/traceability","ควรตั้งเป็น BA confirm item ถ้าหลักฐาน policy/process owner ยังไม่ชัด"
"rg-bapm-008","business_analysis_planning","Business Analysis Planning & Monitoring","hard","ธนาคารดิจิทัลทำ ปรับปรุง onboarding e-KYC สำหรับลูกค้าใหม่ ภายใต้ข้อกำกับ PDPA, KYC และ audit trail แต่ทีม agile ต้องการปรับ requirement ทุก sprint BA ควร tailor plan อย่างไรให้สมดุล compliance และ agility?","ยกเลิก approval ทั้งหมดเพราะ agile ไม่ควรมีเอกสารหรือการกำกับดูแล","ห้ามเปลี่ยน requirement ทุกประเภทจนจบโครงการเพื่อให้ audit ง่ายที่สุด","ให้ compliance ตรวจเฉพาะตอน production incident เกิดขึ้นแล้วเท่านั้น","แยก requirement ที่ต้องมี baseline/approval ตาม compliance ออกจาก backlog ที่ปรับได้ และกำหนด lightweight change log กับ review cadence","D","แยก requirement ที่ต้องมี baseline/approval ตาม compliance ออกจาก backlog ที่ปรับได้ และกำหนด lightweight change log กับ review cadence","การ tailor approach ไม่ใช่เลือก agile หรือ compliance อย่างใดอย่างหนึ่ง BA ต้องแยกส่วนที่ต้องควบคุมเข้มจากส่วนที่ iterate ได้ และทำให้ change log/review cadence เบาพอสำหรับทีมแต่ยังตรวจสอบย้อนหลังได้","D. แยก requirement ที่ต้องมี baseline/approval ตาม compliance ออกจาก backlog ที่ปรับได้ และกำหนด lightweight change log กับ review cadence","Junior ควรจับ keyword เรื่อง approach, plan, stakeholder, governance แล้วเลือกคำตอบที่ทำให้ scope/deliverable/approval ชัด ไม่รีบ freeze หรือข้าม stakeholder จุดระวัง: อย่าจำแค่คำตอบ ให้โยงกับ evidence ในโจทย์และระบุ assumption ที่ยังไม่รู้","D. แยก requirement ที่ต้องมี baseline/approval ตาม compliance ออกจาก backlog ที่ปรับได้ และกำหนด lightweight change log กับ review cadence","Senior review: ในงานแบงค์ต้องแยก requirement ที่ต้อง baseline/approval ตาม policy ออกจาก backlog ที่ปรับได้ และระบุ owner/decision path สำหรับ issue สำคัญ Bank lens: bank-native context; compliance/policy; change/traceability; value realization","D. แยก requirement ที่ต้องมี baseline/approval ตาม compliance ออกจาก backlog ที่ปรับได้ และกำหนด lightweight change log กับ review cadence","Team Lead gate: พร้อมส่งต่อเมื่อมี BA plan, stakeholder coverage, decision log, risk/assumption log, approval criteria และ governance ที่ทีม delivery ยอมรับร่วมกัน Decision: ตอบข้อนี้ได้ แต่ก่อนส่ง dev/test ต้องมี evidence, owner และ acceptance/checkpoint ที่ตรวจสอบได้","บริบทธนาคาร: วาง BA approach ให้มี governance, stakeholder map, decision rights, sign-off cadence, change control และหลักฐาน audit trail ตั้งแต่ต้น","bank-native context; compliance/policy; change/traceability; value realization","ควรตั้งเป็น BA confirm item ถ้าหลักฐาน policy/process owner ยังไม่ชัด"
"rg-bapm-009","business_analysis_planning","Business Analysis Planning & Monitoring","hard","โครงการ ปรับปรุง onboarding e-KYC สำหรับลูกค้าใหม่ มีหลายทีมและมี risk ว่า การตีความข้อมูลบังคับไม่ตรงกันระหว่างสาขาและสำนักงานใหญ่ BA ควรใช้ RACI หรือ responsibility model เพื่อแก้ปัญหาใดมากที่สุด?","ใช้แทน business case เพื่อพิสูจน์ว่าโครงการมี ROI สูง","ทำให้เจ้าของ input, ผู้ตัดสินใจ, ผู้ review และผู้รับผลกระทบของ requirement แต่ละประเภทชัดเจน","ใช้แทน acceptance criteria เพื่อบอกว่าระบบทำงานถูกต้องหรือไม่","ใช้เป็นเครื่องมือจัดลำดับ technical debt ของทีมพัฒนาเท่านั้น","B","ทำให้เจ้าของ input, ผู้ตัดสินใจ, ผู้ review และผู้รับผลกระทบของ requirement แต่ละประเภทชัดเจน","RACI ช่วยลดความกำกวมของบทบาทและ decision ownership ในงาน BA โดยเฉพาะเมื่อ requirement ข้ามหลายทีม ไม่ได้ใช้แทน business case, acceptance criteria หรือ backlog technical debt","B. ทำให้เจ้าของ input, ผู้ตัดสินใจ, ผู้ review และผู้รับผลกระทบของ requirement แต่ละประเภทชัดเจน","Junior ควรจับ keyword เรื่อง approach, plan, stakeholder, governance แล้วเลือกคำตอบที่ทำให้ scope/deliverable/approval ชัด ไม่รีบ freeze หรือข้าม stakeholder จุดระวัง: อย่าจำแค่คำตอบ ให้โยงกับ evidence ในโจทย์และระบุ assumption ที่ยังไม่รู้","B. ทำให้เจ้าของ input, ผู้ตัดสินใจ, ผู้ review และผู้รับผลกระทบของ requirement แต่ละประเภทชัดเจน","Senior review: ในงานแบงค์ต้องแยก requirement ที่ต้อง baseline/approval ตาม policy ออกจาก backlog ที่ปรับได้ และระบุ owner/decision path สำหรับ issue สำคัญ Bank lens: bank-native context; compliance/policy; data/system integration; change/traceability","B. ทำให้เจ้าของ input, ผู้ตัดสินใจ, ผู้ review และผู้รับผลกระทบของ requirement แต่ละประเภทชัดเจน","Team Lead gate: พร้อมส่งต่อเมื่อมี BA plan, stakeholder coverage, decision log, risk/assumption log, approval criteria และ governance ที่ทีม delivery ยอมรับร่วมกัน Decision: ตอบข้อนี้ได้ แต่ก่อนส่ง dev/test ต้องมี evidence, owner และ acceptance/checkpoint ที่ตรวจสอบได้","บริบทธนาคาร: วาง BA approach ให้มี governance, stakeholder map, decision rights, sign-off cadence, change control และหลักฐาน audit trail ตั้งแต่ต้น","bank-native context; compliance/policy; data/system integration; change/traceability","ควรตั้งเป็น BA confirm item ถ้าหลักฐาน policy/process owner ยังไม่ชัด"
"rg-bapm-010","business_analysis_planning","Business Analysis Planning & Monitoring","hard","ธนาคารดิจิทัลต้องส่งมอบ ปรับปรุง onboarding e-KYC สำหรับลูกค้าใหม่ ให้ทันรอบธุรกิจ แต่ข้อมูลใน mobile banking, CRM และระบบตรวจสอบตัวตน ยังไม่พร้อม BA ควรจัดการ assumption และ constraint ใน plan อย่างไร?","ลบ assumption ออกจากเอกสารเพื่อไม่ให้ stakeholder กังวล","ถือว่า constraint ทุกข้อเป็น technical issue ของทีมพัฒนา ไม่เกี่ยวกับ BA","ใส่ assumption ไว้ท้ายเอกสารแต่ไม่ต้องติดตามเพราะเป็นเพียงหมายเหตุ","บันทึก assumption/constraint พร้อม owner, validation date, impact และ trigger ที่ต้อง replan หากข้อสมมติไม่จริง","D","บันทึก assumption/constraint พร้อม owner, validation date, impact และ trigger ที่ต้อง replan หากข้อสมมติไม่จริง","Assumption และ constraint เป็นส่วนสำคัญของ planning เพราะมีผลต่อ scope, schedule และ decision BA ต้องระบุ owner, วันที่ต้องตรวจสอบ, impact และ trigger สำหรับ replan ไม่ใช่บันทึกแบบไม่มีการติดตาม","D. บันทึก assumption/constraint พร้อม owner, validation date, impact และ trigger ที่ต้อง replan หากข้อสมมติไม่จริง","Junior ควรจับ keyword เรื่อง approach, plan, stakeholder, governance แล้วเลือกคำตอบที่ทำให้ scope/deliverable/approval ชัด ไม่รีบ freeze หรือข้าม stakeholder จุดระวัง: อย่าจำแค่คำตอบ ให้โยงกับ evidence ในโจทย์และระบุ assumption ที่ยังไม่รู้","D. บันทึก assumption/constraint พร้อม owner, validation date, impact และ trigger ที่ต้อง replan หากข้อสมมติไม่จริง","Senior review: ในงานแบงค์ต้องแยก requirement ที่ต้อง baseline/approval ตาม policy ออกจาก backlog ที่ปรับได้ และระบุ owner/decision path สำหรับ issue สำคัญ Bank lens: bank-native context; compliance/policy; data/system integration; stakeholder alignment; change/traceability","D. บันทึก assumption/constraint พร้อม owner, validation date, impact และ trigger ที่ต้อง replan หากข้อสมมติไม่จริง","Team Lead gate: พร้อมส่งต่อเมื่อมี BA plan, stakeholder coverage, decision log, risk/assumption log, approval criteria และ governance ที่ทีม delivery ยอมรับร่วมกัน Decision: ตอบข้อนี้ได้ แต่ก่อนส่ง dev/test ต้องมี evidence, owner และ acceptance/checkpoint ที่ตรวจสอบได้","บริบทธนาคาร: วาง BA approach ให้มี governance, stakeholder map, decision rights, sign-off cadence, change control และหลักฐาน audit trail ตั้งแต่ต้น","bank-native context; compliance/policy; data/system integration; stakeholder alignment; change/traceability","ควรตั้งเป็น BA confirm item ถ้าหลักฐาน policy/process owner ยังไม่ชัด"
